map_name,map_size,obstacles_number,num_agents,solver,solved,soc,makespan,simulation_time
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,166992,484,4161.2
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,167383,454,16438.5
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,166700,471,16568.4
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,169545,473,16585.4
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,170090,471,16598.7
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,166537,478,16614.1
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,163871,447,4185.6
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,168123,470,4337.2
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,167223,484,4424.1
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,169016,492,4472.2
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,167606,492,4475.9
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,167266,446,3861.0
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,165299,465,3988.6
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,167474,483,4102.4
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,167265,485,4113.9
warehouse-20-40-10-2-2.map,55760,17004,900,DCMAPF,True,169290,501,4152.0
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,183573,452,5115.9
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,185705,455,5204.7
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,186759,462,5225.1
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,187016,471,5276.6
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,187138,487,5340.8
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,188142,462,5281.0
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,189356,465,5347.8
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,185121,477,5379.4
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,186096,483,5462.3
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,189035,484,5469.3
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,186538,455,5508.5
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,188369,469,5594.8
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,186240,475,5618.9
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,188005,477,5633.5
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,183901,480,5654.8
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,182862,452,4902.0
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,187262,470,5117.7
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,185766,485,5176.4
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,187674,493,5238.5
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,186834,494,5237.3
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,186105,445,5002.2
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,184235,466,30415.4
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,186497,476,30574.7
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,186775,486,30717.2
warehouse-20-40-10-2-2.map,55760,17004,1000,DCMAPF,True,188455,500,30782.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1197,52,2.3
random-32-32-20.map,1024,205,50,DCMAPF,True,1380,54,2.4
random-32-32-20.map,1024,205,50,DCMAPF,True,1273,52,2.5
random-32-32-20.map,1024,205,50,DCMAPF,True,1180,51,2.4
random-32-32-20.map,1024,205,50,DCMAPF,True,1245,55,2.5
random-32-32-20.map,1024,205,50,DCMAPF,True,1320,47,2.5
random-32-32-20.map,1024,205,50,DCMAPF,True,1402,51,2.6
random-32-32-20.map,1024,205,50,DCMAPF,True,1272,54,2.9
random-32-32-20.map,1024,205,50,DCMAPF,True,1401,55,2.9
random-32-32-20.map,1024,205,50,DCMAPF,True,1207,55,2.9
random-32-32-20.map,1024,205,50,DCMAPF,True,1261,46,2.3
random-32-32-20.map,1024,205,50,DCMAPF,True,1339,52,2.4
random-32-32-20.map,1024,205,50,DCMAPF,True,1316,52,2.7
random-32-32-20.map,1024,205,50,DCMAPF,True,1402,68,3.2
random-32-32-20.map,1024,205,50,DCMAPF,True,1391,64,3.1
random-32-32-20.map,1024,205,50,DCMAPF,True,1232,46,2.2
random-32-32-20.map,1024,205,50,DCMAPF,True,1126,47,2.4
random-32-32-20.map,1024,205,50,DCMAPF,True,1393,47,2.5
random-32-32-20.map,1024,205,50,DCMAPF,True,1420,57,3.0
random-32-32-20.map,1024,205,50,DCMAPF,True,1441,72,3.1
random-32-32-20.map,1024,205,50,DCMAPF,True,1289,42,2.5
random-32-32-20.map,1024,205,50,DCMAPF,True,1368,52,3.0
random-32-32-20.map,1024,205,50,DCMAPF,True,1359,51,3.0
random-32-32-20.map,1024,205,50,DCMAPF,True,1271,48,2.9
random-32-32-20.map,1024,205,50,DCMAPF,True,1185,59,3.3
random-32-32-20.map,1024,205,100,DCMAPF,True,2822,67,11.3
random-32-32-20.map,1024,205,100,DCMAPF,True,3063,69,12.0
random-32-32-20.map,1024,205,100,DCMAPF,True,2985,66,12.1
random-32-32-20.map,1024,205,100,DCMAPF,True,3508,79,13.7
random-32-32-20.map,1024,205,100,DCMAPF,True,3284,86,14.1
random-32-32-20.map,1024,205,100,DCMAPF,True,2597,59,10.0
random-32-32-20.map,1024,205,100,DCMAPF,True,2943,63,11.0
random-32-32-20.map,1024,205,100,DCMAPF,True,3134,67,11.8
random-32-32-20.map,1024,205,100,DCMAPF,True,3144,68,12.1
random-32-32-20.map,1024,205,100,DCMAPF,True,3130,73,12.4
random-32-32-20.map,1024,205,100,DCMAPF,True,2962,62,9.0
random-32-32-20.map,1024,205,100,DCMAPF,True,3073,61,9.3
random-32-32-20.map,1024,205,100,DCMAPF,True,3182,65,10.4
random-32-32-20.map,1024,205,100,DCMAPF,True,3003,104,12.6
random-32-32-20.map,1024,205,100,DCMAPF,True,3539,93,13.5
random-32-32-20.map,1024,205,100,DCMAPF,True,2902,66,9.7
random-32-32-20.map,1024,205,100,DCMAPF,True,3045,68,10.2
random-32-32-20.map,1024,205,100,DCMAPF,True,3099,73,11.7
random-32-32-20.map,1024,205,100,DCMAPF,True,3212,73,12.2
random-32-32-20.map,1024,205,100,DCMAPF,True,3568,81,12.6
random-32-32-20.map,1024,205,100,DCMAPF,True,3179,69,11.1
random-32-32-20.map,1024,205,100,DCMAPF,True,3124,78,13.2
random-32-32-20.map,1024,205,100,DCMAPF,True,2768,86,13.5
